# Log file inited, date=2023-05-18 16:30:36.528634
0 2023-05-18 16:34:46.556614 LSL_name=Muse,LSL_hostname=ThinkPad,LSL_nof_channels=5,LSL_created_at=78326.145091756,LSL_time_correction=-2.194699482060969e-05
T0001_start @0001 timestamp=1684420539481 date='2023-05-18 16:35:39.485304'
T0001_marker marker_id=1 ts=1684420539481 date='2023-05-18 16:35:39.485501'
T0001_marker marker_id=4001 ts=1684420539.4273481 date='2023-05-18 16:35:39.510468'
T0001_marker marker_id=1002 ts=1684420550775 date='2023-05-18 16:35:50.777778'
T0001_marker marker_id=1001 ts=1684420552434 date='2023-05-18 16:35:52.435597'
T0001_marker marker_id=1000 ts=1684420554052 date='2023-05-18 16:35:54.053004'
T0001_marker marker_id=1001 ts=1684420555568 date='2023-05-18 16:35:55.569354'
T0001_marker marker_id=1003 ts=1684420557102 date='2023-05-18 16:35:57.103323'
T0001_marker marker_id=1003 ts=1684420558668 date='2023-05-18 16:35:58.669799'
T0001_marker marker_id=1002 ts=1684420560369 date='2023-05-18 16:36:00.369866'
T0001_marker marker_id=1001 ts=1684420562002 date='2023-05-18 16:36:02.002546'
T0001_marker marker_id=1002 ts=1684420563610 date='2023-05-18 16:36:03.610699'
T0001_marker marker_id=1003 ts=1684420565268 date='2023-05-18 16:36:05.268640'
T0001_marker marker_id=1000 ts=1684420566885 date='2023-05-18 16:36:06.885681'
T0001_marker marker_id=1002 ts=1684420568535 date='2023-05-18 16:36:08.535505'
T0001_marker marker_id=1003 ts=1684420570071 date='2023-05-18 16:36:10.072668'
T0001_marker marker_id=1002 ts=1684420571601 date='2023-05-18 16:36:11.602141'
T0001_marker marker_id=1003 ts=1684420573236 date='2023-05-18 16:36:13.237693'
T0001_marker marker_id=1002 ts=1684420574803 date='2023-05-18 16:36:14.821177'
T0001_marker marker_id=1003 ts=1684420576355 date='2023-05-18 16:36:16.358374'
T0001_marker marker_id=1003 ts=1684420578052 date='2023-05-18 16:36:18.054658'
T0001_marker marker_id=1003 ts=1684420579751 date='2023-05-18 16:36:19.752502'
T0001_marker marker_id=1003 ts=1684420581385 date='2023-05-18 16:36:21.385945'
T0001_marker marker_id=1001 ts=1684420582918 date='2023-05-18 16:36:22.918823'
T0001_marker marker_id=1002 ts=1684420584502 date='2023-05-18 16:36:24.502276'
T0001_marker marker_id=1000 ts=1684420586201 date='2023-05-18 16:36:26.202109'
T0001_marker marker_id=1002 ts=1684420587802 date='2023-05-18 16:36:27.802847'
T0001_marker marker_id=1003 ts=1684420589338 date='2023-05-18 16:36:29.339695'
T0001_marker marker_id=1000 ts=1684420591019 date='2023-05-18 16:36:31.022020'
T0001_marker marker_id=1003 ts=1684420592685 date='2023-05-18 16:36:32.686002'
T0001_marker marker_id=1003 ts=1684420594385 date='2023-05-18 16:36:34.385392'
T0001_marker marker_id=1003 ts=1684420595935 date='2023-05-18 16:36:35.936383'
T0001_marker marker_id=1002 ts=1684420597618 date='2023-05-18 16:36:37.619690'
T0001_marker marker_id=1002 ts=1684420599168 date='2023-05-18 16:36:39.168738'
T0001_marker marker_id=1002 ts=1684420600819 date='2023-05-18 16:36:40.818824'
T0001_marker marker_id=1000 ts=1684420602386 date='2023-05-18 16:36:42.386632'
T0001_marker marker_id=3000 ts=1684420603383 date='2023-05-18 16:36:43.383569'
T0001_stop timestamp=1684420603383 date='2023-05-18 16:36:43.383765'
T0001_marker marker_id=2000 ts=1684420604401 date='2023-05-18 16:36:44.402909'
T0001_marker marker_id=9999 ts=1684420627641 date='2023-05-18 16:37:07.641510'
T0001_end correct_category='999' timestamp=1684420627641 date='2023-05-18 16:37:07.641912'
T0002_start @0003 timestamp=1684420666069 date='2023-05-18 16:37:46.069669'
T0002_marker marker_id=3 ts=1684420666069 date='2023-05-18 16:37:46.070254'
